,Company,Industry,Entrepreneur Gender,ASK_Amount,ASK_Equity,ASK_Valuation,Barbara  Corcoran,Mark  Cuban,Lori Greiner,Robert Herjavec,Daymond John,Kevin O'Leary,Guest,# Sharks,$ per shark,Deal_No,Deal_Yes
0,Ava the Elephant,Health / Wellness,Female,"$50,000",15.00%,"$333,333",1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"$50,000",0,1
1,Mr. Tod's Pie Factory,Food and Beverage,Male,"$460,000",10.00%,"$4,600,000",1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,"$230,000",0,1
6,Classroom Jams,Children / Education,Male,"$250,000",10.00%,"$2,500,000",1.0,1.0,0.0,1.0,1.0,1.0,0.0,5.0,"$50,000",0,1
263,Sweet Ballz,Food and Beverage,Male,"$250,000",10.00%,"$2,500,000",1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,"$125,000",0,1
264,Postcard on the Run,Software / Tech,Male,"$300,000",5.00%,"$6,000,000",0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,"$300,000",0,1
265,Lynnaes Gourmet Pickles,Food and Beverage,Female,"$125,000",20.00%,"$625,000",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
266,RoloDoc,Health / Wellness,Male,"$50,000",20.00%,"$250,000",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
267,Kane & Couture Dog Clothes,Pet Products,Female,"$150,000",33.00%,"$454,545",0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,"$75,000",0,1
268,Breathometer,Health / Wellness,Male,"$250,000",10.00%,"$2,500,000",0.0,1.0,1.0,1.0,1.0,1.0,0.0,5.0,"$200,000",0,1
269,Mango Mango Preserve,Food and Beverage,Female,"$75,000",20.00%,"$375,000",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
270,Man Medals,Uncertain / Other,Male,"$10,000",10.00%,"$100,000",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
271,Freeloader Child Carrier,Travel,Male,"$200,000",15.00%,"$1,333,333",0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,"$200,000",0,1
272,Rapid Ramen Cooker,Food and Beverage,Male,"$300,000",10.00%,"$3,000,000",0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,"$300,000",0,1
273,Fairy Tale Wishes,Children / Education,Female,"$35,000",33.00%,"$106,061",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
274,Kook n Kap,Food and Beverage,Female,"$50,000",20.00%,"$250,000",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
275,Screen Mend,Lifestyle / Home,Mixed Team,"$30,000",25.00%,"$120,000",0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,"$30,000",0,1
276,Hamboards Skateboard/Surfboard,Fitness / Sports / Outdoors,Male,"$100,000",15.00%,"$666,667",0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,"$300,000",0,1
277,R Dubs Sunday Night Slow Jams,Lifestyle / Home,Male,"$75,000",10.00%,"$750,000",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
278,Scan. Me App,Software / Tech,Male,"$1,000,000",5.00%,"$20,000,000",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
279,Veggie Mama Garden Pops,Food and Beverage,Mixed Team,"$75,000",15.00%,"$500,000",1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,"$37,500",0,1
280,Ruffle Butts - Rugged Butts,Fashion / Beauty,Mixed Team,"$600,000",7.00%,"$8,571,429",0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,"$300,000",0,1
281,Bare Ease Bikini Waxing,Lifestyle / Home,Female,"$50,000",20.00%,"$250,000",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
282,Rent A Goat,Pet Products,Male,"$150,000",25.00%,"$600,000",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
283,Total Merchant Resources,Business Services,Mixed Team,"$200,000",20.00%,"$1,000,000",0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,"$200,000",0,1
284,Ten Thirty One Haunted Hayrides,Media / Entertainment,Female,"$2,000,000",10.00%,"$20,000,000",0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,"$2,000,000",0,1
