,Company,Deal,Industry,Entrepreneur Gender,ASK_Amount,ASK_Equity,ASK_Valuation
0,Ava the Elephant,Yes,Health  Wellness,Female,50000,15,333333
1,Mr. Tod's Pie Factory,Yes,Food and Beverage,Male,460000,10,4600000
6,Classroom Jams,Yes,Children  Education,Male,250000,10,2500000
263,Sweet Ballz,Yes,Food and Beverage,Male,250000,10,2500000
264,Postcard on the Run,Yes,Software  Tech,Male,300000,5,6000000
265,Lynnaes Gourmet Pickles,No,Food and Beverage,Female,125000,20,625000
266,RoloDoc,No,Health  Wellness,Male,50000,20,250000
267,Kane & Couture Dog Clothes,Yes,Pet Products,Female,150000,33,454545
268,Breathometer,Yes,Health  Wellness,Male,250000,10,2500000
269,Mango Mango Preserve,No,Food and Beverage,Female,75000,20,375000
270,Man Medals,No,Uncertain  Other,Male,10000,10,100000
271,Freeloader Child Carrier,Yes,Travel,Male,200000,15,1333333
272,Rapid Ramen Cooker,Yes,Food and Beverage,Male,300000,10,3000000
273,Fairy Tale Wishes,No,Children  Education,Female,35000,33,106061
274,Kook n Kap,No,Food and Beverage,Female,50000,20,250000
275,Screen Mend,Yes,Lifestyle  Home,Mixed Team,30000,25,120000
276,Hamboards Skateboard/Surfboard,Yes,Fitness  Sports  Outdoors,Male,100000,15,666667
277,R Dubs Sunday Night Slow Jams,No,Lifestyle  Home,Male,75000,10,750000
278,Scan. Me App,No,Software  Tech,Male,1000000,5,20000000
279,Veggie Mama Garden Pops,Yes,Food and Beverage,Mixed Team,75000,15,500000
280,Ruffle Butts - Rugged Butts,Yes,Fashion  Beauty,Mixed Team,600000,7,8571429
281,Bare Ease Bikini Waxing,No,Lifestyle  Home,Female,50000,20,250000
282,Rent A Goat,No,Pet Products,Male,150000,25,600000
283,Total Merchant Resources,Yes,Business Services,Mixed Team,200000,20,1000000
284,Ten Thirty One Haunted Hayrides,Yes,Media  Entertainment,Female,2000000,10,20000000
285,Fiber Fix Tape,Yes,Lifestyle  Home,Male,90000,10,900000
286,Elephant Chat,No,Uncertain  Other,Mixed Team,50000,20,250000
287,180 Party Cup,Yes,Lifestyle  Home,Male,300000,15,2000000
288,Tree T Pee,Yes,GreenCleanTech,Male,150000,20,750000
289,Better Life Cleaning Products,Yes,GreenCleanTech,Male,400000,7,5714286
290,Kymera Electric Surfboards,No,Fitness  Sports  Outdoors,Male,250000,20,1250000
291,Paparazzi Proposals,Yes,Lifestyle  Home,Male,250000,20,1250000
292,Schulzies Bread Pudding,No,Food and Beverage,Female,160000,20,800000
293,BellyBuds,No,Health  Wellness,Male,500000,12,4000000
294,PetPaint,No,Pet Products,Male,200000,20,1000000
295,Surprise Ride,No,Children  Education,Female,110000,10,1100000
